index,model,time,result
8,base-q5_1,2263,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
8,base-q8_0,2405,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
8,small-q5_1,5428,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
8,small-q8_0,4933,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
9,tiny-q5_1,3300,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
9,tiny-q8_0,1579,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
9,base-q5_1,2252,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
9,base-q8_0,1910,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
9,small-q5_1,6491,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
9,small-q8_0,4795,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
10,tiny-q5_1,1545,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
10,tiny-q8_0,1562,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
10,base-q5_1,2311,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
10,base-q8_0,2049,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
10,small-q5_1,5703,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
10,small-q8_0,4493,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
